id,title,release_date,release_year,runtime,budget,revenue,vote_average,vote_count,popularity,genres,profit,roi,primary_genre,era
99861,Avengers: Age of Ultron,2015-04-22,2015,141,235000000,1405403694,7.271,23910,22.1651,"['Action', 'Adventure', 'Science Fiction']",1170403694,4.98044125106383,Action,pre_covid
76341,Mad Max: Fury Road,2015-05-13,2015,121,150000000,378858340,7.628,23572,20.0886,"['Action', 'Adventure', 'Science Fiction']",228858340,1.5257222666666668,Action,pre_covid
216015,Fifty Shades of Grey,2015-02-11,2015,125,40000000,569651467,5.877,12187,18.3064,"['Drama', 'Romance', 'Thriller']",529651467,13.241286675,Drama,pre_covid
150540,Inside Out,2015-06-17,2015,95,175000000,857611174,7.91,22982,15.0899,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",682611174,3.90063528,Animation,pre_covid
206647,Spectre,2015-10-26,2015,148,245000000,880707597,6.565,10950,14.5127,"['Action', 'Adventure', 'Thriller']",635707597,2.5947248857142857,Action,pre_covid
214756,Ted 2,2015-06-25,2015,115,68000000,215863606,6.315,7813,13.3353,"['Comedy', 'Fantasy']",147863606,2.174464794117647,Comedy,pre_covid
166424,Fantastic Four,2015-08-05,2015,100,120000000,167977596,4.435,6283,13.1955,"['Action', 'Adventure', 'Science Fiction']",47977596,0.3998133,Action,pre_covid
287903,Krampus,2015-11-26,2015,98,15000000,61800000,6.192,2315,12.7775,"['Horror', 'Comedy', 'Fantasy']",46800000,3.12,Horror,pre_covid
150689,Cinderella,2015-03-06,2015,105,95000000,543514353,6.825,7267,12.4947,"['Romance', 'Fantasy', 'Family', 'Drama']",448514353,4.721203715789474,Romance,pre_covid
102899,Ant-Man,2015-07-14,2015,117,130000000,519311965,7.066,20466,12.3115,"['Science Fiction', 'Action', 'Adventure']",389311965,2.9947074230769233,Science Fiction,pre_covid
257344,Pixels,2015-07-16,2015,106,88000000,244874809,5.763,7848,11.4118,"['Action', 'Comedy', 'Science Fiction', 'Fantasy']",156874809,1.7826682840909092,Action,pre_covid
286217,The Martian,2015-09-30,2015,141,108000000,631058917,7.691,20647,10.8819,"['Drama', 'Adventure', 'Science Fiction']",523058917,4.84313812037037,Drama,pre_covid
140607,Star Wars: The Force Awakens,2015-12-15,2015,136,245000000,2068223624,7.255,20122,10.7899,"['Adventure', 'Action', 'Science Fiction']",1823223624,7.44172907755102,Adventure,pre_covid
307081,Southpaw,2015-03-24,2015,123,30000000,91709827,7.364,5672,10.6205,"['Action', 'Drama']",61709827,2.0569942333333335,Action,pre_covid
